time, step, color, speed, distance, stop, deviation, integral, derivative
35547,0,16,130,2550, False,-21.5,0,-38
35681,0,46,130,1498, False,8.5,0,30
35821,0,78,130,1474, False,40.5,40.5,32
35960,0,71,130,1456, False,33.5,74,-7
36117,0,53,130,1422, False,15.5,89.5,-18
36261,0,68,130,1444, False,30.5,120,15
36400,0,74,130,2550, False,36.5,156.5,6
36538,0,70,130,2550, False,32.5,189,-4
36696,0,69,130,1422, False,31.5,220.5,-1
36859,0,63,130,2550, False,25.5,246,-6
37002,0,38,130,2550, False,0.5,0,-25
37148,0,19,130,2550, False,-18.5,0,-19
37289,0,76,130,2550, False,38.5,0,57
37436,0,82,130,2550, False,44.5,44.5,6
37576,0,80,130,2550, False,42.5,87,-2
37709,0,73,130,2550, False,35.5,122.5,-7
37851,0,64,130,2550, False,26.5,149,-9
37997,0,48,130,2550, False,10.5,159.5,-16
38142,0,27,130,2550, False,-10.5,0,-21
38288,0,58,130,2550, False,20.5,0,31
38427,0,78,130,2550, False,40.5,40.5,20
38578,0,80,130,2550, False,42.5,83,2
38711,0,79,130,2550, False,41.5,124.5,-1
38851,0,79,130,2550, False,41.5,166,0
38992,0,79,130,2550, False,41.5,207.5,0
39129,0,52,130,2550, False,14.5,222,-27
39281,0,19,130,2550, False,-18.5,0,-33
39427,0,52,130,2550, False,14.5,0,33
39575,0,80,130,2550, False,42.5,42.5,28
39727,0,80,130,2550, False,42.5,85,0
39872,0,75,130,2550, False,37.5,122.5,-5
40047,0,61,130,2550, False,23.5,146,-14
40198,0,37,130,2550, False,-0.5,0,-24
40340,0,21,130,2550, False,-16.5,-16.5,-16
40478,0,54,130,2550, False,16.5,0,33
40627,0,75,130,2550, False,37.5,37.5,21
40777,0,10,130,2550, False,-27.5,0,-65
40919,0,6,130,2550, False,-31.5,-31.5,-4
41061,0,62,130,2550, False,24.5,0,56
41209,0,54,130,2550, False,16.5,16.5,-8
41357,0,15,130,2550, False,-22.5,0,-39
41499,0,11,130,2550, False,-26.5,-26.5,-4
41637,0,58,130,2550, False,20.5,0,47
41780,0,73,130,2550, False,35.5,35.5,15
41927,0,18,130,2550, False,-19.5,0,-55
42069,0,6,130,2550, False,-31.5,-31.5,-12
42219,0,76,130,2550, False,38.5,0,70
42358,0,78,130,2550, False,40.5,40.5,2
42488,0,4,130,2550, False,-33.5,0,-74
42652,0,7,130,2550, False,-30.5,-30.5,3
42801,0,72,130,2550, False,34.5,0,65
42958,0,77,130,2550, False,39.5,39.5,5
43100,0,14,130,2550, False,-23.5,0,-63
43249,0,5,130,2550, False,-32.5,-32.5,-9
43408,0,48,130,2550, False,10.5,0,43
43558,0,70,130,2550, False,32.5,32.5,22
43711,0,18,130,2550, False,-19.5,0,-52
43867,0,5,130,2550, False,-32.5,-32.5,-13
44000,0,65,130,2550, False,27.5,0,60
44141,0,71,130,2550, False,33.5,33.5,6
44289,0,15,130,2550, False,-22.5,0,-56
44432,0,5,130,2550, False,-32.5,-32.5,-10
44602,0,54,130,1875, False,16.5,0,49
44757,0,70,130,1864, False,32.5,32.5,16
44911,0,10,130,2550, False,-27.5,0,-60
45091,0,5,130,2550, False,-32.5,-32.5,-5
45252,0,72,130,1799, False,34.5,0,67
45388,0,81,130,1793, False,43.5,43.5,9
45522,0,59,130,1793, False,21.5,65,-22
45662,0,8,130,1793, False,-29.5,0,-51
45798,0,11,130,1793, False,-26.5,-26.5,3
45942,0,70,130,1793, False,32.5,0,59
46089,0,68,130,1793, False,30.5,30.5,-2
46228,0,14,130,1793, False,-23.5,0,-54
46371,0,6,130,1793, False,-31.5,-31.5,-8
46511,0,67,130,1793, False,29.5,0,61
46661,0,80,80,326, False,42.5,42.5,13
46807,0,49,80,326, False,11.5,54,-31
46959,0,10,80.5,1607, False,-27.5,0,-39
47101,0,30,81,1580, False,-7.5,0,20
47242,0,69,81.5,1740, False,31.5,0,39
47391,0,50,82,1536, False,12.5,12.5,-19
47533,0,8,82.5,1529, False,-29.5,0,-42
47678,0,6,83,1503, False,-31.5,-31.5,-2
47819,0,61,83.5,2155, False,23.5,0,55
47958,0,72,84,2130, False,34.5,34.5,11
48110,0,8,84.5,1490, False,-29.5,0,-64
48260,0,5,85,1468, False,-32.5,-32.5,-3
48398,0,38,85.5,1426, False,0.5,0,33
48547,0,46,86,1404, False,8.5,0,8
48688,0,22,86.5,1464, False,-15.5,0,-24
48829,0,11,87,1438, False,-26.5,-26.5,-11
48987,0,50,87.5,1397, False,12.5,0,39
49128,0,74,88,1252, False,36.5,36.5,24
49278,0,30,88.5,1351, False,-7.5,0,-44
49419,0,14,89,1464, False,-23.5,-23.5,-16
49589,0,13,89.5,1361, False,-24.5,-48,-1
49741,0,66,90,1330, False,28.5,0,53
49880,0,78,90.5,1174, False,40.5,40.5,12
50017,0,72,91,1330, False,34.5,75,-6
50157,0,53,91.5,1406, False,15.5,90.5,-19
50301,0,39,92,1380, False,1.5,0,-14
50441,0,70,92.5,1370, False,32.5,32.5,31
50592,0,82,93,1378, False,44.5,77,12
50748,0,80,93.5,1343, False,42.5,119.5,-2
50882,0,61,94,1332, False,23.5,143,-19
51020,0,16,94.5,2550, False,-21.5,0,-45
